h,pearson_r,p_value,n
1.0,0.6716403401746336,5.1043321800605325e-21,150
2.0,0.9010773688308672,1.4404853208245882e-55,150
4.0,0.9529697203233514,1.2709001574273133e-78,150
8.0,0.868716082266261,5.225411515524232e-47,150
