h,b0,b1,n_b0,n_b1,mean_b0,mean_b1,t_stat,p_value
1.0,0.0,1.0,30,30,-159.9999999999973,-0.013344138336009337,-inf,0.0
2.0,0.0,1.0,30,30,-159.9999999999973,840.0000000000025,-2.3684205291737944e+16,0.0
4.0,0.0,1.0,30,30,-159.9999999999973,840.000000000003,-2.3684205291737956e+16,0.0
8.0,0.0,1.0,30,30,-159.999999998049,840.000000000003,-2.2977054135637196e+16,0.0
