b,pearson_r,p_value,n
0.0,0.9152492329795217,2.063517637455485e-48,120
0.5,0.9660579177593736,3.277705504304319e-71,120
0.8,0.6793884128789676,1.4639520568134748e-17,120
1.0,0.592220092263982,1.0457764880272069e-12,120
1.2,,,120
