model,n,ps,pd,h,b,w_self,T,steps_run,seed,init_mode,x0,noise,ndi_0,ndi_T,delta_ndi,island_sep_T
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,42,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,43,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,44,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,45,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,46,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,47,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,48,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,49,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,50,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,51,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,52,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,53,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,54,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,55,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,56,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,57,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,58,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.5,0.0,50,50,59,theorem,0.7,0.05,159.9999999999973,1.9721522630525295e-28,-159.9999999999973,2.220446049250313e-16
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,60,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,61,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
biased,100,0.1,0.1,1.0,0.8,0.0,50,50,62,theorem,0.7,0.05,159.9999999999973,3.656014383528111e-08,-159.99999996343715,6.0464984771302355e-06
